filename,extracted_persons
2023-01-03_10_中国战略性新兴产业发展指数发布.md,[]
2023-01-05_07_抗病毒药物应在医生指导下使用.md,"[{""name"": ""王贵强"", ""organization"": ""北京大学第一医院感染科主任"", ""position"": ""主任""}]"
2023-01-07_03_“用团结的力量扫除疫情阴霾”（国际社会看中国优化疫情防控措施）.md,[]
2023-01-09_06_新版诊疗方案更科学、更有针对性.md,"[{""name"": ""王贵强"", ""organization"": ""北京大学第一医院感染科"", ""position"": ""主任""}]"
2023-01-10_06_做好诊疗关口前移和重症患者救治（国务院联防联控机制发布会）.md,"[{""name"": ""王贵强"", ""organization"": ""北京大学第一医院感染疾病科"", ""position"": ""主任""}]"
2023-01-11_04_唐有祺同志逝世.md,"[{""name"": ""唐有祺"", ""organization"": ""北京大学化学与分子工程学院"", ""position"": ""教授""}]"
2023-01-13_05_以扩大开放增强内需发展动力（新论）.md,"[{""name"": ""苏剑"", ""organization"": ""北京大学经济学院"", ""position"": ""国民经济研究中心主任""}]"
2023-01-16_11_活化利用 汲古润今（推进文化自信自强）.md,[]
2023-01-16_09_推动党的二十大精神在校园落地生根（专题深思）.md,[]
2023-01-16_11_齐聚迎新春 联欢过大年.md,[]
2023-01-17_07_重点人群这样做好防护（国务院联防联控机制发布会）.md,"[{""name"": ""赵扬玉"", ""organization"": ""北京大学第三医院"", ""position"": ""妇产科主任""}]"
2023-01-17_07_让孩子健康快乐过春节（服务窗·科学防疫）.md,"[{""name"": ""赵扬玉"", ""organization"": ""北京大学第三医院妇产科"", ""position"": ""主任""}]"
2023-01-19_06_涵养优良学风 勇攀科研高峰（讲述·弘扬科学家精神（特别策划））.md,[]
2023-01-19_07_春节返乡 这样防护（服务窗·科学防疫）.md,"[{""name"": ""孙永昌"", ""organization"": ""北京大学第三医院呼吸与危重症医学科"", ""position"": ""主任""}]"
2023-01-20_04_全力做好医疗救治工作 切实保障人民群众健康.md,[]
2023-01-21_04_向着新目标，奋楫再出发！.md,[]
2023-01-21_03_向着新目标，奋楫再出发！.md,[]
2023-01-24_04_云上年画展精彩纷呈.md,[]
2023-01-29_07_欢乐祥和庆新春.md,[]
2023-01-30_05_以仁心仁术造福基层群众（中国道路中国梦·不负嘱托更奋发㉓）.md,[]
2023-01-30_19_“天问一号”助力“火星日凌”研究（新知）.md,[]
2023-02-01_17_以茶为媒，推动文明交流互鉴.md,[]
2023-02-02_13_孕产妇如何做好新冠防护（服务窗·科学防疫）.md,"[{""name"": ""赵扬玉"", ""organization"": ""北京大学第三医院妇产科"", ""position"": ""主任""}]"
2023-02-02_06_漫漫星空，探索未有穷期（讲述·弘扬科学家精神）.md,[]
2023-02-03_03_“将匈中两国的友谊继续传承下去”.md,[]
2023-02-05_08_绘出美好生活新画卷（坚持“两创” 书写史诗·新征程 新辉煌）.md,[]
2023-02-06_19_智能算力，数字经济新引擎（科技视点）.md,[]
2023-02-07_04_扎实做好各项准备工作 确保如期安全开学.md,[]
2023-02-08_03_听取对政府工作报告的意见建议.md,"[{""name"": ""姚洋"", ""organization"": ""北京大学"", ""position"": """"}]"
2023-02-09_05_心怀热爱，逐梦“追星”（暖闻热评）.md,"[{""name"": ""刘博洋"", ""organization"": ""北京大学"", ""position"": ""90后天文摄影师""}]"
2023-02-09_14_《永乐大典》高清影像数据库发布.md,[]
2023-02-10_12_业界研讨2023年春节档电影现象.md,[]
